" ","patent_parties","patents_granted","inventors","owners","applicants","emp_patenting_ind","wages_paid_patenting_ind","exports_all_countries","exports_united_states","exports_china","exports_mexico","exports_united_kingdom","exports_japan","exports_germany","exports_south_korea","exports_italy","exports_france","exports_netherlands","exports_belgium","exports_spain","exports_hong_kong","exports_brazil","exports_algeria","exports_norway","exports_india","exports_switzerland","exports_saudi_arabia","exports_turkiye","exports_taiwan","exports_peru","exports_australia","exports_iraq","exports_indonesia","exports_singapore","exports_russian_federation","exports_other_countries","imports_all_countries","imports_united_states","imports_china","imports_mexico","imports_united_kingdom","imports_japan","imports_germany","imports_south_korea","imports_italy","imports_france","imports_netherlands","imports_belgium","imports_spain","imports_hong_kong","imports_brazil","imports_algeria","imports_norway","imports_india","imports_switzerland","imports_saudi_arabia","imports_turkiye","imports_taiwan","imports_peru","imports_australia","imports_iraq","imports_indonesia","imports_singapore","imports_russian_federation","imports_other_countries","total_pop","total_emp","total_full_emp","total_part_emp","total_unem","total_emp_rate","total_wage","total_wage_males","total_wage_females","total_avg_wage","total_median_wage","total_usual_hours","total_actual_hours","total_avg_tenure","total_bankruptcies","total_insolvencies","emp_males","emp_females","emp_goods","emp_agriculture","emp_natural_resources","emp_utilities","emp_construction","emp_manufacturing","emp_services","emp_wholesale_and_retail","emp_transportation","emp_finance","emp_business","emp_professional","emp_education","emp_healthcare","emp_media","emp_food","emp_other","emp_public","avg_wage_males","avg_wage_females","median_wage_males","median_wage_females","median_wage_goods","median_wage_agriculture","median_wage_natural_resources","median_wage_utilities","median_wage_construction","median_wage_manufacturing","median_wage_services","median_wage_wholesale_and_retail","median_wage_transportation","median_wage_finance","median_wage_business","median_wage_professional","median_wage_education","median_wage_healthcare","median_wage_media","median_wage_food","median_wage_other","median_wage_public","new_housing_price_index","wages_paid_goods","wages_paid_agriculture","wages_paid_natural_resources","wages_paid_utilities","wages_paid_construction","wages_paid_manufacturing","wages_paid_services","wages_paid_wholesale_and_retail","wages_paid_transportation","wages_paid_finance","wages_paid_business","wages_paid_professional","wages_paid_education","wages_paid_healthcare","wages_paid_media","wages_paid_food","wages_paid_other","wages_paid_public","average_usual_hours","average_usual_hours_males","average_usual_hours_females","average_actual_hours","average_actual_hours_males","average_actual_hours_females","retail_sales","wholesale_sales","manufacturing_sales"
"total_unem",".74",".74",".75",".68",".77",".93",".95",".86",".83",".31",".73",".73",".32",".80",".33",".57",".67",".55",".61",".37",".54",".30","-.08",".72",".19",".54",".48",".27",".39",".23",".79",".11",".06",".67",".59",".72",".86",".82",".79",".76",".76",".78",".81",".72",".87",".78",".63",".60",".79",".69",".74",".29",".17",".81",".80","-.14",".72",".87",".71",".68","-.11",".86",".77",".43",".88",".95",".93",".93",".91","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_emp_rate",".20",".31",".18",".18",".18",".28",".20",".32",".32",".32",".32",".03",".30","-.01",".21",".03",".03","-.07",".14","-.08",".09",".24",".22",".07",".24",".07",".06",".10",".18",".37",".25",".27",".42",".20",".23",".32",".12",".15",".09",".10",".02",".10",".05",".05",".10",".07",".04","-.02",".03",".08",".04","-.01","-.16",".09",".06","-.18",".05",".13",".02",".10","-.31",".07",".12","-.15",".05",".27",".31",".31",".32",".16","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_wage",".90",".88",".95",".76",".93","1.00","1.00",".93",".90",".37",".82",".75",".37",".81",".40",".59",".69",".58",".67",".40",".59",".32","-.07",".74",".24",".58",".51",".31",".44",".25",".85",".16",".10",".73",".62",".79",".92",".88",".84",".82",".76",".84",".86",".75",".92",".82",".69",".63",".83",".69",".77",".25",".13",".86",".82","-.15",".78",".92",".69",".70","-.13",".91",".81",".45",".92","1.00","1.00","1.00","1.00",".95",".22","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_wage_males",".90",".87",".94",".77",".93","1.00","1.00",".93",".90",".37",".82",".74",".37",".81",".40",".59",".69",".58",".67",".40",".58",".32","-.06",".73",".24",".58",".50",".31",".44",".25",".85",".16",".10",".73",".62",".79",".91",".88",".83",".81",".76",".83",".85",".75",".92",".82",".69",".63",".83",".69",".77",".26",".13",".86",".82","-.15",".78",".92",".68",".70","-.14",".91",".81",".45",".92","1.00","1.00","1.00",".99",".95",".23","1.00","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_wage_females",".89",".88",".95",".76",".92","1.00","1.00",".93",".90",".37",".82",".76",".37",".81",".41",".59",".69",".58",".67",".40",".59",".32","-.07",".75",".25",".59",".51",".31",".44",".25",".85",".15",".10",".73",".62",".79",".92",".88",".84",".82",".76",".84",".86",".76",".92",".81",".69",".63",".83",".68",".77",".25",".13",".86",".83","-.15",".79",".92",".70",".70","-.13",".91",".81",".45",".92","1.00","1.00","1.00","1.00",".95",".22","1.00","1.00","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_avg_wage",".13",".38",".25","-.03",".20",".26",".26",".39",".34",".67",".47",".26",".35",".26",".36",".31",".23",".34",".30",".20",".21",".27",".16",".20",".39",".20",".23",".32",".32",".50",".35",".18",".43",".34",".24",".50",".28",".23",".39",".29",".08",".19",".30",".27",".33",".18",".26",".28",".32","-.04",".29","-.05","-.18",".40",".29","-.04",".37",".28",".27",".26","-.07",".31",".16",".14",".31",".30",".30",".30",".30",".27",".21",".30",".30",".30","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_median_wage",".13",".37",".25","-.02",".20",".26",".26",".39",".33",".69",".46",".24",".40",".25",".39",".31",".23",".34",".31",".20",".20",".29",".17",".18",".41",".20",".21",".33",".35",".51",".35",".17",".46",".33",".23",".50",".26",".22",".38",".26",".07",".20",".27",".27",".31",".18",".25",".25",".31","-.01",".28","-.05","-.19",".38",".27","-.05",".35",".28",".25",".28","-.08",".31",".16",".12",".30",".30",".30",".30",".30",".27",".22",".30",".30",".30",".99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_usual_hours",".82",".84",".84",".74",".86","1.00","1.00",".94",".91",".37",".82",".75",".38",".80",".41",".59",".67",".57",".66",".38",".59",".32","-.06",".74",".24",".58",".51",".30",".44",".25",".85",".16",".10",".72",".62",".78",".92",".89",".84",".82",".75",".85",".85",".76",".92",".80",".67",".62",".82",".70",".75",".24",".12",".86",".82","-.16",".77",".92",".69",".70","-.14",".91",".81",".43",".91","1.00","1.00","1.00",".99",".93",".32","1.00","1.00","1.00",".30",".30","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_actual_hours",".82",".83",".84",".74",".86",".99",".99",".94",".91",".37",".82",".75",".38",".79",".40",".58",".67",".56",".66",".38",".59",".32","-.06",".74",".23",".57",".51",".30",".44",".25",".85",".16",".10",".72",".61",".78",".92",".89",".83",".82",".75",".85",".85",".75",".91",".79",".66",".62",".81",".70",".74",".24",".12",".85",".81","-.16",".76",".92",".68",".69","-.14",".90",".81",".43",".91",".99","1.00","1.00",".99",".92",".32","1.00","1.00","1.00",".29",".29","1.00","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_avg_tenure",".01",".05",".04","-.04","-.11","-.02","-.20","-.26","-.29","-.16","-.06",".00","-.41","-.04","-.33","-.03",".04","-.06",".03",".07","-.06",".12",".25","-.04",".09","-.04",".00",".12","-.37",".09","-.20","-.06",".12","-.16","-.13",".02","-.09","-.11","-.08","-.05","-.03","-.20",".00","-.12","-.06","-.02",".01",".05",".01","-.25",".03",".04",".02","-.05","-.01",".16",".01","-.18",".01","-.22",".00","-.11","-.18",".00","-.04","-.02","-.03","-.03",".00","-.05",".15","-.22","-.23","-.22",".14",".13","-.04","-.04","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_bankruptcies",".83",".60",".78",".84",".77",".85",".84",".68",".67",".09",".51",".42",".16",".62",".20",".37",".71",".53",".52",".42",".32",".29","-.06",".49",".10",".50",".23",".26",".24",".08",".69",".05","-.02",".56",".59",".61",".62",".61",".45",".46",".83",".57",".60",".43",".66",".78",".61",".41",".60",".66",".58",".47",".29",".50",".49","-.12",".48",".64",".40",".57","-.10",".63",".71",".41",".66",".83",".82",".82",".82",".83",".17",".81",".81",".81","-.01","-.01",".82",".82","-.08","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"total_insolvencies",".87",".79",".89",".77",".86",".92",".94",".82",".79",".26",".74",".63",".23",".78",".29",".51",".79",".61",".66",".48",".49",".33","-.06",".64",".20",".60",".40",".34",".31",".20",".80",".10",".05",".72",".64",".77",".79",".74",".69",".67",".83",".69",".79",".61",".85",".86",".75",".57",".79",".60",".75",".38",".23",".74",".70","-.12",".70",".78",".60",".63","-.12",".80",".74",".47",".84",".92",".92",".91",".92",".88",".19",".93",".93",".93",".21",".21",".91",".91","-.01",".93","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_males",".81",".82",".83",".73",".85","1.00","1.00",".93",".91",".38",".82",".75",".38",".81",".41",".59",".68",".57",".67",".39",".58",".32","-.06",".74",".24",".57",".51",".31",".45",".25",".85",".16",".10",".73",".62",".78",".92",".88",".83",".81",".76",".84",".85",".75",".92",".81",".68",".62",".82",".70",".76",".25",".12",".86",".82","-.16",".77",".92",".68",".70","-.14",".91",".81",".44",".91","1.00","1.00","1.00",".98",".93",".31","1.00","1.00","1.00",".30",".30","1.00","1.00","-.05",".82",".91","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_females",".84",".85",".87",".75",".87",".99","1.00",".93",".90",".38",".82",".76",".38",".81",".41",".59",".69",".58",".67",".39",".59",".32","-.07",".75",".25",".58",".51",".31",".45",".25",".85",".15",".10",".73",".62",".78",".92",".88",".85",".82",".75",".85",".86",".76",".92",".81",".68",".63",".83",".68",".76",".25",".12",".86",".83","-.15",".78",".93",".70",".71","-.14",".91",".81",".44",".92",".99","1.00","1.00","1.00",".92",".31","1.00","1.00","1.00",".30",".30","1.00",".99",".00",".82",".92",".99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_goods",".76",".76",".75",".72",".81",".98",".99",".94",".93",".34",".79",".69",".35",".76",".37",".55",".66",".55",".63",".37",".54",".31","-.05",".71",".21",".55",".46",".28",".41",".25",".84",".16",".10",".70",".61",".76",".89",".87",".76",".77",".76",".81",".80",".70",".87",".79",".64",".58",".77",".74",".71",".26",".13",".79",".76","-.16",".71",".89",".62",".67","-.14",".86",".82",".41",".86",".97",".97",".98",".94",".92",".33",".99",".99",".98",".26",".26",".98",".98","-.10",".84",".88",".98",".96","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_agriculture",".45",".48",".43",".47",".54",".66",".79",".80",".79",".31",".69",".48",".32",".54",".26",".42",".53",".38",".55",".27",".40",".40",".20",".51",".24",".44",".32",".25",".30",".39",".68",".22",".29",".58",".54",".72",".65",".66",".51",".54",".59",".58",".55",".47",".64",".62",".47",".37",".55",".60",".52",".22",".03",".55",".54","-.24",".49",".64",".42",".47","-.20",".58",".62",".26",".60",".65",".66",".67",".63",".63",".56",".79",".80",".78",".17",".18",".68",".68","-.09",".66",".62",".68",".64",".75","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_natural_resources",".25",".39",".23",".22",".30",".36",".27",".47",".49",".49",".33",".03",".44",".08",".33",".13",".10",".19",".13",".04",".09",".09",".07",".04",".11",".10",".07",".04",".33",".34",".32",".28",".26",".34",".30",".31",".10",".11",".12",".08",".09",".09",".05",".09",".13",".10",".08",".02",".08",".11",".06",".02","-.08",".13",".06","-.15",".08",".14",".03",".21","-.08",".10",".13",".01",".08",".37",".39",".40",".37",".35",".49",".31",".32",".30",".37",".38",".41",".41","-.39",".25",".27",".41",".38",".44",".48","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_utilities",".75",".75",".74",".71",".78",".96",".98",".93",".91",".30",".79",".72",".27",".75",".30",".54",".64",".52",".61",".34",".56",".31","-.05",".74",".19",".55",".47",".26",".35",".25",".82",".15",".08",".68",".62",".75",".90",".89",".77",".79",".76",".81",".81",".71",".87",".77",".61",".58",".76",".71",".70",".27",".13",".80",".79","-.16",".71",".88",".66",".64","-.14",".85",".82",".40",".87",".96",".96",".96",".93",".92",".29",".97",".97",".97",".25",".25",".96",".96","-.08",".84",".87",".96",".94",".98",".73",".39","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_construction",".79",".88",".85",".66",".84",".94",".94",".94",".90",".51",".85",".75",".48",".76",".50",".59",".59",".55",".63",".32",".60",".31","-.06",".73",".29",".55",".52",".30",".52",".31",".84",".20",".16",".72",".62",".78",".90",".85",".87",".83",".64",".83",".82",".77",".88",".71",".63",".61",".79",".59",".71",".16",".04",".87",".82","-.16",".77",".90",".71",".69","-.14",".89",".76",".39",".89",".95",".96",".96",".96",".86",".37",".96",".96",".96",".43",".43",".96",".96","-.06",".70",".85",".96",".97",".92",".61",".50",".89","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_manufacturing",".71",".66",".68",".71",".76",".95",".97",".87",".86",".18",".70",".66",".22",".75",".26",".50",".68",".53",".60",".39",".50",".28","-.07",".69",".15",".54",".42",".26",".32",".15",".78",".09",".01",".63",".56",".69",".87",".86",".70",".73",".81",".79",".79",".66",".85",".81",".63",".57",".75",".80",".71",".30",".19",".74",".73","-.13",".67",".87",".58",".64","-.12",".83",".83",".43",".84",".93",".93",".93",".89",".90",".21",".95",".95",".95",".12",".12",".93",".94","-.08",".87",".87",".94",".91",".97",".69",".29",".96",".82","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_services",".83",".86",".87",".73",".86",".99",".99",".92",".89",".39",".83",".76",".39",".82",".42",".60",".69",".58",".68",".39",".60",".33","-.07",".75",".25",".58",".52",".32",".45",".25",".85",".15",".10",".73",".62",".79",".92",".88",".86",".83",".75",".85",".87",".77",".93",".81",".69",".64",".84",".67",".77",".25",".12",".88",".84","-.15",".79",".93",".71",".71","-.13",".92",".81",".44",".93","1.00","1.00","1.00","1.00",".92",".30","1.00","1.00","1.00",".31",".31",".99",".99","-.01",".81",".92",".99","1.00",".95",".63",".37",".94",".97",".90","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_wholesale_and_retail",".82",".83",".84",".74",".85","1.00","1.00",".92",".89",".37",".82",".74",".38",".81",".41",".59",".70",".59",".67",".40",".58",".33","-.06",".73",".25",".58",".50",".32",".44",".24",".85",".15",".10",".73",".62",".79",".91",".87",".83",".81",".77",".84",".85",".75",".92",".82",".69",".63",".83",".69",".77",".27",".14",".85",".81","-.16",".78",".92",".68",".71","-.14",".91",".81",".45",".92","1.00","1.00","1.00",".99",".93",".30","1.00","1.00","1.00",".29",".29","1.00","1.00","-.03",".83",".92","1.00","1.00",".97",".66",".39",".95",".96",".93","1.00","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_transportation",".81",".84",".84",".72",".86",".98",".98",".93",".90",".42",".82",".74",".44",".80",".45",".60",".67",".57",".67",".38",".59",".31","-.07",".72",".25",".57",".51",".31",".48",".27",".86",".17",".12",".74",".61",".78",".90",".87",".84",".81",".72",".84",".84",".76",".91",".79",".67",".62",".82",".67",".75",".22",".10",".86",".81","-.16",".78",".92",".68",".71","-.14",".90",".79",".42",".90",".99",".99",".99",".98",".92",".33",".99",".99",".99",".33",".33",".99",".99","-.07",".79",".90",".99",".99",".96",".66",".44",".94",".97",".91",".99",".99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_finance",".81",".85",".84",".71",".83",".98",".98",".92",".89",".34",".83",".83",".35",".82",".38",".61",".63",".53",".65",".34",".64",".31","-.07",".81",".23",".57",".57",".28",".42",".23",".83",".15",".08",".70",".59",".75",".97",".93",".90",".89",".70",".90",".89",".82",".93",".76",".64",".66",".84",".68",".76",".18",".08",".90",".89","-.14",".80",".95",".77",".67","-.12",".94",".81",".42",".95",".99",".99",".99",".98",".92",".27",".98",".98",".99",".30",".29",".99",".98","-.02",".76",".87",".98",".99",".95",".63",".32",".94",".96",".90",".99",".98",".98","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_business",".84",".89",".91",".70",".88",".93",".97",".93",".89",".42",".85",".80",".40",".83",".44",".62",".65",".57",".67",".37",".62",".31","-.07",".77",".26",".57",".56",".31",".47",".26",".84",".16",".11",".73",".60",".78",".94",".89",".90",".86",".70",".86",".88",".80",".94",".78",".68",".66",".86",".64",".78",".19",".08",".91",".87","-.15",".82",".94",".75",".70","-.13",".94",".79",".44",".95",".95",".95",".95",".97",".86",".29",".99",".98",".99",".36",".36",".95",".94",".05",".72",".88",".94",".97",".87",".52",".34",".85",".97",".79",".97",".95",".95",".96","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_professional",".88",".89",".92",".76",".89",".95",".99",".92",".89",".35",".82",".77",".36",".79",".40",".58",".67",".56",".66",".38",".60",".31","-.08",".76",".24",".60",".50",".30",".43",".23",".85",".14",".07",".72",".61",".76",".93",".90",".85",".84",".73",".86",".87",".77",".91",".79",".68",".63",".82",".67",".75",".21",".11",".86",".84","-.13",".78",".92",".71",".68","-.13",".91",".81",".43",".92",".96",".96",".96",".98",".86",".29",".99",".99",".99",".29",".28",".96",".95",".05",".79",".92",".95",".97",".89",".54",".31",".87",".95",".83",".98",".96",".95",".96",".98","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_education",".82",".85",".86",".72",".85",".98",".98",".92",".89",".38",".83",".77",".38",".83",".41",".61",".69",".58",".68",".40",".61",".33","-.06",".76",".25",".59",".53",".31",".44",".26",".85",".15",".11",".73",".61",".79",".92",".88",".86",".83",".74",".85",".87",".77",".93",".81",".68",".64",".84",".66",".78",".24",".11",".88",".84","-.15",".80",".92",".72",".70","-.13",".91",".80",".45",".93",".99",".99",".99",".99",".93",".29",".99",".99",".99",".32",".32",".99",".99",".01",".80",".91",".99",".99",".95",".63",".36",".94",".96",".90",".99",".99",".99",".98",".96",".96","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_healthcare",".82",".87",".87",".69",".85",".97",".98",".91",".87",".42",".85",".75",".39",".84",".43",".61",".73",".62",".71",".43",".59",".34","-.06",".72",".28",".59",".52",".35",".45",".28",".85",".16",".13",".76",".63",".82",".90",".85",".86",".81",".76",".81",".87",".75",".95",".84",".74",".66",".87",".61",".81",".28",".14",".89",".83","-.15",".83",".91",".70",".72","-.14",".92",".78",".47",".94",".98",".98",".98",".99",".91",".29",".99",".99",".99",".36",".36",".98",".97",".06",".79",".93",".97",".99",".92",".59",".36",".90",".96",".86",".99",".98",".98",".97",".98",".97",".98","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_media",".85",".83",".86",".77",".87",".99",".99",".90",".87",".35",".77",".72",".40",".78",".43",".56",".66",".55",".64",".36",".57",".32","-.08",".73",".25",".57",".47",".30",".47",".21",".84",".13",".08",".69",".60",".74",".91",".88",".82",".80",".75",".86",".83",".75",".89",".79",".66",".60",".79",".72",".72",".25",".12",".83",".79","-.16",".74",".93",".67",".72","-.13",".90",".83",".42",".90",".98",".99",".99",".99",".91",".30",".99",".99",".99",".25",".25",".99",".99","-.03",".83",".91",".98",".99",".96",".64",".35",".94",".95",".92",".99",".99",".98",".98",".95",".97",".97",".97","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_food",".83",".84",".86",".74",".85",".98",".98",".90",".87",".40",".79",".72",".45",".77",".47",".58",".66",".56",".65",".37",".59",".32","-.08",".71",".27",".56",".48",".31",".50",".23",".84",".15",".10",".71",".61",".76",".89",".86",".83",".80",".73",".85",".82",".75",".89",".78",".67",".60",".78",".68",".71",".25",".11",".83",".78","-.16",".74",".91",".66",".73","-.14",".90",".80",".41",".89",".98",".99",".98",".99",".90",".33",".98",".98",".99",".28",".29",".98",".98","-.03",".82",".91",".98",".99",".94",".63",".40",".92",".96",".89",".99",".99",".98",".97",".95",".97",".97",".97",".99","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"emp_other",".81",".81",".82",".75",".84",".99",".99",".92",".90",".38",".79",".71",".40",".78",".42",".57",".68",".57",".64",".38",".56",".33","-.06",".70",".24",".57",".47",".30",".46",".25",".85",".16",".11",".71",".63",".77",".88",".85",".79",".77",".76",".82",".81",".72",".88",".80",".66",".58",".79",".71",".72",".28",".14",".81",".77","-.17",".73",".90",".65",".71","-.14",".88",".81",".42",".88",".99",".99",".99",".98",".94",".32",".99",".99",".99",".27",".28",".99",".99","-.06",".85",".91",".99",".99",".98",".69",".44",".96",".94",".94",".98",".99",".98",".97",".92",".94",".98",".96",".98",".98","1",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
